Walls
59.0,581.0,59.0,31.0
52.0,37.0,619.0,102.0
701.0,537.0,702.0,137.0
613.0,105.0,689.0,106.0
684.0,113.0,684.0,38.0
684.0,38.0,932.0,38.0
932.0,38.0,932.0,482.0
938.0,465.0,823.0,578.0
837.0,576.0,25.0,577.0
197.0,521.0,197.0,132.0
186.0,136.0,876.0,136.0
875.0,440.0,875.0,85.0
875.0,440.0,788.0,528.0
787.0,528.0,786.0,139.0
748.0,573.0,745.0,302.0
Checkpoints
202.0,431.0,243.0,580.0
196.0,578.0,204.0,489.0
13.0,328.0,244.0,329.0
205.0,155.0,58.0,154.0
230.0,142.0,230.0,31.0
438.0,145.0,436.0,29.0
621.0,97.0,622.0,154.0
680.0,100.0,686.0,150.0
790.0,140.0,784.0,35.0
873.0,91.0,936.0,90.0
868.0,276.0,938.0,274.0
797.0,379.0,740.0,377.0
864.0,426.0,941.0,434.0
818.0,487.0,823.0,577.0
698.0,532.0,300.0,576.0
688.0,288.0,795.0,285.0
